name,series,band,attioStage,hubStage,expectedWhy,key
Magnus Medical,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,magnusmedical
MicroOne,Pre-B SAFE,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,micro1
ModRetro,Early Stage VC,below_b,Watchlist,watchlist,below Series B with no Top 10 investor,modretro
Monumental (Hardware),Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,monumental
Nucleus Genomics,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,mynucleus
Namespace,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,namespace
Newcore,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,newcore
Noah Labs,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,noah-labs
nous research,Series B,b,Pipeline,,Series B with no Tier 1 (33) or Top 10 investor,nousresearch
Ollin,Series B,b,Qualified,,Series B with a Tier 1 (33) but no Top 10 investor,ollin
Omnea,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,omnea
Orbem,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,orbem
Osmo Labs,Series B,b,Qualified,qualified,Series B with no Tier 1 (33) or Top 10 investor,osmo
Panthalassa,Series B SAFE,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,panthalassa
Prime Attorneys,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,primeattorneys
Prime Intellect,Series B,b,Target,new,Series B with no Tier 1 (33) or Top 10 investor,primeintellect
Project Prometheus,Early Stage VC,below_b,Watchlist,watchlist,below Series B with no Top 10 investor,project-prometheus
Quaise Energy,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,quaise
Qualified Health,Series B,b,Pipeline,pipeline,Series B with a Tier 1 (33) but no Top 10 investor,qualifiedhealthai
Capital R3alm,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,r3alm
RoboFlow,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,roboflow
Silicondata,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,silicondata
Slide,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,slide
Spade Data,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,spade
Supio,Series B,b,Target,new,Series B with no Tier 1 (33) or Top 10 investor,supio
Tavily,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,tavily
Taxfyle,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,taxfyle
Tempero Bio,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,temperobio
Tenkara Labs,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,tenkara
Triomics,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,triomics
Glimpse,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,tryglimpse
Upcodes,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,up
Vapi,,unknown,Qualified,qualified,series unknown -- cannot place from the rule,vapi
Walden Robotics,Seed,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,waldenrobotics
Warp,Series B,b,Qualified,,Series B with a Tier 1 (33) but no Top 10 investor,warp
Wealth.com,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,wealth
WindBorne Systems,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,windbornesystems
Pulley,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,withpulley
Sable AI,,unknown,Radar,qualified,series unknown -- cannot place from the rule,withsable
Sunbeam,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,withsunbeam
Xbow,Series B,b,Target,new,Series B with no Tier 1 (33) or Top 10 investor,xbow
Akido,Series C,above_b,Target,new,above Series B but no Tier 1 (33) investor on the cap table,akidolabs
Aspora,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,aspora
Clay,Series D,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,clay
CodeRabbit,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,coderabbit
Cornelius Networks,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,cornelisnetworks
FalconX,Series E,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,falconx
Firestorm,NEA,above_b,Watchlist,watchlist,above Series B but no Tier 1 (33) investor on the cap table,firestorm
Frore,Series D,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,froresystems
Grafana,Series C,above_b,Target,new,above Series B but no Tier 1 (33) investor on the cap table,grafana
Harbinger,Series D,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,harbingermotors
Inspiren,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,inspiren
Laurel,Series D,above_b,Target,new,above Series B but no Tier 1 (33) investor on the cap table,laurel
MagicSchool,Series C,above_b,Target,new,above Series B but no Tier 1 (33) investor on the cap table,magicschool
Numa,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,numa
OXIO,Series C,above_b,Pipeline,pipeline,above Series B but no Tier 1 (33) investor on the cap table,oxio
Path Robotics,Series E,above_b,Watchlist,watchlist,above Series B but no Tier 1 (33) investor on the cap table,path-robotics
Retool,Series E,above_b,Watchlist,watchlist,above Series B but no Tier 1 (33) investor on the cap table,retool
