name,series,attioStage,hubStage,hubTags,expectedStage,expectedTags,hubSetStage,hubAddTags,attioNeeds,expectedWhy,attioRecordId,key
Higharc,Series C,Qualified,,,Qualified,,qualified,,,above Series B with a Tier 1 (33) investor,122eff4e-9918-4b51-84bb-8618f6cb00aa,higharc
ICON,Series D,Pipeline,pipeline,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,d8b1fe0a-ed86-45a4-a16e-a13c3e0aa87c,iconbuild
Loop (Chicago),Series C,Watchlist,watchlist,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,d967a8f0-48cd-43c3-a2fb-99b9f016962c,loop
Lovable,Series C,Pipeline,qualified,,Qualified,,,,Qualified,above Series B with a Tier 1 (33) investor,6cf21044-87fb-4c48-92cb-15f61b980ce9,lovable
Mach Industries,Series C,Pipeline,qualified,,Qualified,,,,Qualified,above Series B with a Tier 1 (33) investor,a74f9b40-b6a5-4085-a25f-b778c8fa6ded,machindustries
Mind Robotics,Early Stage VC,Watchlist,watchlist,,Radar,,,radar,Radar,below Series B with a Top 10 investor,df3e0ee6-de32-4f37-821d-a0f1f41db4ea,mindrobotics
Mintlify,Series B,Target,new,,Qualified,radar,qualified,radar,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",1002ca4c-6a5c-4217-ae98-e6d47f02ae28,mintlify
Monaco (Business/Productivity Software),Series B,Watchlist,watchlist,radar,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",686c35b6-153f-4c2d-b769-6454ff2d5cfa,monaco
Norm Ai,Series C,Qualified,,,Qualified,,qualified,,,above Series B with a Tier 1 (33) investor,619524ab-6ee9-4050-a224-ae57d9be7e8f,norm
Ollama,Series B,Watchlist,radar,pipeline,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",a729c818-e0a4-43e7-805e-c4416e3f247a,ollama
Omni Analytics,Later Stage VC,Watchlist,watchlist,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,2c7439a0-d594-4348-a802-f18b7e2fc111,omni
Pallet,Series C,Target,new,,Qualified,,qualified,,Qualified,above Series B with a Tier 1 (33) investor,70a9ef0c-f5a8-4036-8434-971c9ac3023d,pallet
Parallel,Series B,Watchlist,watchlist,radar,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",f92b6720-cde7-4a58-955b-70542e3fcfbc,parallel
Revel (Business/Productivity Software),Series B,Pipeline,pipeline,radar,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",e084d08b-8bf4-4ee8-94fe-1b5a61bbf914,revel
Ricursive Intelligence,Series A,Watchlist,watchlist,radar,Radar,,,,Radar,below Series B with a Top 10 investor,81a811e6-bbc0-4bcd-81c5-86e61499d3be,ricursive
Rogo (Business/Productivity Software),Series D,Watchlist,watchlist,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,c6e8a53e-8f83-43f1-a709-1fec911ba3e6,rogo
Sandstone (Business/Productivity Software),Series A,Watchlist,watchlist,radar,Radar,,,,Radar,below Series B with a Top 10 investor,bf9b04cd-3d74-4223-a219-1ba8519ed1c5,sandstone
Snorkel,Series E,Pipeline,pipeline,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,95b6fe3d-9f33-4d86-ba7a-14b803cd857a,snorkel
Supabase,Series F,Pipeline,pipeline,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,8f5bf0fa-0ef7-4c7c-bc8c-752533c54c5e,supabase
Synthetix,Series C,Watchlist,watchlist,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,0b99a51b-5bf4-402c-8bc3-8c824be74d65,synthetix
Temporal,Series E,Pipeline,qualified,,Qualified,,,,Qualified,above Series B with a Tier 1 (33) investor,6c542b33-1363-4994-b728-1cfd7cd15ef3,temporal
Trajectory,Series A,Pipeline,pipeline,,Radar,,,radar,Radar,below Series B with a Top 10 investor,7f33bd08-7732-48b7-b9c9-047ebe598823,trajectory
Profound,Series D,Pipeline,qualified,,Qualified,,,,Qualified,above Series B with a Tier 1 (33) investor,6f99df22-85a7-4d43-b134-c0668b38a541,tryprofound
Onyx,Series B,Radar,pipeline,radar,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",3c49ab5b-ed4d-4aba-9e93-b05c291855fa,onyx
Pi Security,Series B,Pipeline,qualified,,Qualified,radar,,radar,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",7b5ccdfa-9f77-41d6-8360-6caaccd56179,pi
Simile,Series B,Radar,pipeline,,Qualified,radar,,"qualified, radar",Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",a33bbc68-9b61-4b31-90e2-5c98fc181a0f,simile
Braintrust (Software Development Applications),Series B,Watchlist,,"watchlist, radar",Qualified,radar,qualified,,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",bd7171b7-a222-49e8-81a9-c9332c106cff,braintrust-software-development-applications
